year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2016,1,"$130,000 ","$130,000 ","$13,557 ","$13,557 ",Changing Film Productions,USA,Bank Tangjaitrong,Adventure,,Till We Meet Again,NOT RATED,11/25/16,105,6.9,John Matton,1248,John Matton
2016,1,"$6,000,000 ","$6,000,000 ","$177,680 ","$177,680 ",Human Stew Factory,USA,Ana Lily Amirpour,Drama,,The Bad Batch,R,6/23/17,118,5.4,Suki Waterhouse,8340,Ana Lily Amirpour
2016,1,"$8,000,000 ","$8,000,000 ","$685,143 ","$685,143 ",Cinelou Films,USA,Bruce Beresford,Comedy,,Mr. Church,PG-13,9/16/16,104,7.7,Eddie Murphy,18249,Susan McMartin
2016,1,"$3,800,000 ","$3,800,000 ","$1,016,872 ","$1,016,872 ",Sycamore Pictures,USA,John Krasinski,Comedy,,The Hollars,PG-13,8/26/16,88,6.5,Sharlto Copley,7227,Jim Strouse
2016,1,"$15,000,000 ","$15,000,000 ","$1,658,706 ","$1,658,706 ",Cinelou Films,USA,Taylor Hackford,Comedy,,The Comedian,R,2002/3/17,120,5.7,Robert De Niro,3729,Art Linson
2016,1,"$15,000,000 ","$15,000,000 ","$2,411,580 ","$2,411,580 ",Demarest Films,USA,D.J. Caruso,Drama,,The Disappointments Room,R,2009/9/16,85,3.9,Kate Beckinsale,6287,Wentworth Miller
2016,1,"$10,000,000 ","$10,000,000 ","$3,369,431 ","$3,369,431 ",Annapurna Pictures,USA,Richard Linklater,Comedy,,Everybody Wants Some!!,R,2004/7/16,117,7,Blake Jenner,39909,Richard Linklater
2016,1,"$25,000,000 ","$25,000,000 ","$3,647,836 ","$3,647,836 ",New Regency Pictures,USA,Warren Beatty,Comedy,,Rules Don't Apply,PG-13,11/23/16,127,5.7,Lily Collins,5192,Warren Beatty
2016,1,"$18,000,000 ","$18,000,000 ","$3,707,794 ","$3,707,794 ",Warner Bros.,USA,Jeff Nichols,Drama,,Midnight Special,PG-13,4/21/16,112,6.7,Michael Shannon,58549,Jeff Nichols
2016,1,"$3,500,000 ","$3,500,000 ","$3,775,000 ","$3,775,000 ",Warner Bros. Animation,USA,Sam Liu,Animation,,Batman: The Killing Joke,R,7/25/16,76,6.5,Kevin Conroy,36333,Brian Azzarello
2016,1,"$250,000 ","$250,000 ","$3,847,290 ","$3,847,290 ",Diablo Entertainment (II),USA,J.D. Dillard,Action,,Sleight,R,4/28/17,89,5.9,Jacob Latimore,4012,J.D. Dillard
2016,1,"$8,000,000 ","$8,000,000 ","$3,912,052 ","$3,912,052 ",Scott Free Productions,USA,Luke Scott,Action,,Morgan,R,2009/2/16,92,5.8,Kate Mara,27297,Seth W. Owen
2016,1,"$3,000,000 ","$3,000,000 ","$4,208,879 ","$4,208,879 ",Blackbird,USA,Dan Kwan,Adventure,,Swiss Army Man,R,2007/1/16,97,7,Paul Dano,69827,Daniel Scheinert
2016,1,"$5,000,000 ","$5,000,000 ","$4,790,573 ","$4,790,573 ",IM Global,USA,Brad Peyton,Horror,,Incarnate,PG-13,2012/2/16,91,5.2,Aaron Eckhart,7778,Ronnie Christensen
2016,1,"$6,000,000 ","$6,000,000 ","$4,847,865 ","$4,847,865 ",Verdi Productions,USA,Ben Younger,Biography,,Bleed for This,R,11/18/16,117,6.8,Miles Teller,15158,Ben Younger
2016,1,"$7,000,000 ","$7,000,000 ","$5,663,855 ","$5,663,855 ",A24,USA,Mike Mills,Comedy,,20th Century Women,R,1/20/17,119,7.4,Annette Bening,20814,Mike Mills
2016,1,"$46,000,000 ","$46,000,000 ","$7,079,191 ","$7,079,191 ",Cappa Defina Productions,USA,Martin Scorsese,Adventure,,Silence,R,1/13/17,161,7.2,Andrew Garfield,61798,Jay Cocks
2016,1,"$20,000,000 ","$20,000,000 ","$7,222,964 ","$7,222,964 ",Black Bear Pictures,USA,Stephen Gaghan,Adventure,,Gold,R,1/27/17,120,6.7,Matthew McConaughey,32147,Patrick Massett
2016,1,"$40,000,000 ","$40,000,000 ","$8,106,986 ","$8,106,986 ",Regency Enterprises,USA,Gore Verbinski,Drama,,A Cure for Wellness,R,2/17/17,146,6.4,Dane DeHaan,45187,Justin Haythe
2016,1,"$30,000,000 ","$30,000,000 ","$8,574,339 ","$8,574,339 ",Keep Your Head,USA,James Gray,Adventure,,The Lost City of Z,PG-13,4/21/17,141,6.6,Charlie Hunnam,39409,James Gray
2016,1,"$900,000 ","$900,000 ","$9,093,856 ","$9,093,856 ",Hidden Empire Film Group,USA,Deon Taylor,Comedy,,Meet the Blacks,R,2004/1/16,94,6,Mike Epps,18980,Nicole DeMasi
2016,1,"$20,000,000 ","$20,000,000 ","$9,393,835 ","$9,393,835 ",Apatow Productions,USA,Akiva Schaffer,Comedy,,Popstar: Never Stop Never Stopping,R,2006/3/16,87,6.7,Andy Samberg,35620,Andy Samberg
2016,1,"$5,000,000 ","$5,000,000 ","$10,164,675 ","$10,164,675 ",BH Tilt,USA,Greg McLean,Action,,The Belko Experiment,R,3/17/17,89,6.1,John Gallagher Jr.,23422,James Gunn
2016,1,"$108,000,000 ","$108,000,000 ","$10,377,558 ","$10,377,558 ",Appian Way,USA,Ben Affleck,Action,,Live by Night,R,1/13/17,129,6.4,Ben Affleck,35064,Ben Affleck
2016,1,"$22,500,000 ","$22,500,000 ","$10,639,114 ","$10,639,114 ",Focus Features,USA,Tom Ford,Crime,,Nocturnal Animals,R,2012/9/16,116,7.5,Amy Adams,152436,Tom Ford
2016,1,"$4,000,000 ","$4,000,000 ","$10,732,841 ","$10,732,841 ",Blumhouse Productions,USA,Greg McLean,Horror,,The Darkness,PG-13,5/13/16,92,4.4,Kevin Bacon,9450,Greg McLean
2016,1,"$28,000,000 ","$28,000,000 ","$10,907,291 ","$10,907,291 ",Cross Creek Pictures,USA,Burr Steers,Action,,Pride and Prejudice and Zombies,PG-13,2002/5/16,108,5.8,Lily James,37491,Burr Steers
2016,1,"$30,000,000 ","$30,000,000 ","$11,103,205 ","$11,103,205 ",FilmNation Entertainment,USA,Woody Allen,Comedy,,Caf Society,PG-13,2008/5/16,96,6.7,Jesse Eisenberg,50826,Woody Allen
2016,1,"$20,000,000 ","$20,000,000 ","$12,626,905 ","$12,626,905 ",Worldview Entertainment,USA,John Hillcoat,Action,,Triple 9,R,2/26/16,115,6.3,Casey Affleck,51631,Matt Cook
2016,1,"$25,000,000 ","$25,000,000 ","$12,785,093 ","$12,785,093 ",FilmNation Entertainment,USA,John Lee Hancock,Biography,,The Founder,PG-13,1/20/17,100,7.2,Michael Keaton,62193,Robert D. Siegel
2016,1,"$9,000,000 ","$9,000,000 ","$14,260,193 ","$14,260,193 ",Gracie Films,USA,Kelly Fremon Craig,Comedy,,The Edge of Seventeen,R,11/18/16,104,7.4,Hailee Steinfeld,59867,Kelly Fremon Craig
2016,1,"$31,500,000 ","$31,500,000 ","$14,268,533 ","$14,268,533 ",BenderSpink,USA,Ariel Vromen,Action,,Criminal,R,4/15/16,113,6.3,Kevin Costner,42478,Douglas Cook
2016,1,"$40,000,000 ","$40,000,000 ","$14,896,798 ","$14,896,798 ",Fox 2000 Pictures,USA,Greg Mottola,Action,,Keeping Up with the Joneses,PG-13,10/21/16,105,5.8,Zach Galifianakis,39443,Michael LeSieur
2016,1,"$8,500,000 ","$8,500,000 ","$15,858,754 ","$15,858,754 ",Bron Studios,USA,Nate Parker,Biography,,The Birth of a Nation,R,2010/7/16,120,6.3,Nate Parker,14778,Nate Parker
2016,1,"$25,000,000 ","$25,000,000 ","$17,356,894 ","$17,356,894 ",Broadway Video,USA,Jared Hess,Action,,Masterminds,PG-13,9/30/16,95,5.8,Zach Galifianakis,34656,Chris Bowman
2016,1,"$26,000,000 ","$26,000,000 ","$17,664,973 ","$17,664,973 ",Broad Green Pictures,USA,Mark Waters,Comedy,,Bad Santa 2,R,11/23/16,92,5.5,Billy Bob Thornton,13114,Johnny Rosenthal
2016,1,"$8,500,000 ","$8,500,000 ","$19,985,196 ","$19,985,196 ",CBS Films,USA,Steve Carr,Animation,,Middle School: The Worst Years of My Life,PG,2010/7/16,92,6.1,Griffin Gluck,4556,Chris Bowman
2016,1,"$15,000,000 ","$15,000,000 ","$20,566,327 ","$20,566,327 ",New Line Cinema,USA,Peter Atencio,Action,,Keanu,R,4/29/16,100,6.3,Keegan-Michael Key,34580,Jordan Peele
2016,1,"$50,000,000 ","$50,000,000 ","$20,758,378 ","$20,758,378 ",Bluegrass Films,USA,Gary Ross,Action,,Free State of Jones,R,6/24/16,139,6.9,Matthew McConaughey,34513,Gary Ross
2016,1,"$35,000,000 ","$35,000,000 ","$23,049,575 ","$23,049,575 ",Broadway Video,USA,Glenn Ficarra,Biography,,Whiskey Tango Foxtrot,R,2003/4/16,112,6.6,Tina Fey,38907,Robert Carlock
2016,1,"$100,000,000 ","$100,000,000 ","$26,384,681 ","$26,384,681 ",LightWorkers Media,USA,Timur Bekmambetov,Action,,Ben-Hur,PG-13,8/19/16,123,5.7,Jack Huston,31863,Lew Wallace
2016,1,"$10,000,000 ","$10,000,000 ","$26,583,369 ","$26,583,369 ",Gramercy Pictures (I),USA,Jason Zada,Horror,,The Forest,PG-13,2001/8/16,93,4.8,Natalie Dormer,30580,Nick Antosca
2016,1,"$12,000,000 ","$12,000,000 ","$26,862,450 ","$26,862,450 ",Film 44,USA,David Mackenzie,Crime,,Hell or High Water,R,8/26/16,102,7.6,Chris Pine,132328,Taylor Sheridan
2016,1,"$80,000,000 ","$80,000,000 ","$27,550,735 ","$27,550,735 ",Walt Disney Pictures,USA,Craig Gillespie,Action,,The Finest Hours,PG-13,1/29/16,117,6.8,Chris Pine,47688,Scott Silver
2016,1,"$1,500,000 ","$1,500,000 ","$27,850,912 ","$27,850,912 ",A24,USA,Barry Jenkins,Drama,,Moonlight,R,11/18/16,111,7.5,Mahershala Ali,161857,Barry Jenkins
2016,1,"$50,000,000 ","$50,000,000 ","$28,848,693 ","$28,848,693 ",Panorama Films,USA,Ben Stiller,Comedy,,Zoolander 2,PG-13,2002/12/16,101,4.7,Ben Stiller,51053,Justin Theroux
2016,1,"$35,000,000 ","$35,000,000 ","$30,348,260 ","$30,348,260 ",Lakeshore Entertainment,USA,Anna Foerster,Action,,Underworld: Blood Wars,R,2001/6/17,91,5.8,Kate Beckinsale,49911,Cory Goodman
2016,1,"$36,000,000 ","$36,000,000 ","$30,982,955 ","$30,982,955 ",New Line Cinema,USA,David Frankel,Drama,,Collateral Beauty,PG-13,12/16/16,97,6.8,Will Smith,56439,Allan Loeb
2016,1,"$140,000,000 ","$140,000,000 ","$31,153,464 ","$31,153,464 ",Pyramania,USA,Alex Proyas,Action,,Gods of Egypt,PG-13,2/26/16,127,5.4,Brenton Thwaites,78473,Matt Sazama
2016,1,"$25,000,000 ","$25,000,000 ","$32,463,917 ","$32,463,917 ",Open Road Films (II),USA,Garry Marshall,Comedy,,Mother's Day,PG-13,4/29/16,118,5.6,Jennifer Aniston,22504,Anya Kochoff
2016,1,"$125,000,000 ","$125,000,000 ","$33,370,166 ","$33,370,166 ",Disruption Entertainment,USA,Chris Wedge,Action,,Monster Trucks,PG,1/13/17,104,5.7,Lucas Till,9244,Derek Connolly
2016,1,"$75,000,000 ","$75,000,000 ","$34,343,574 ","$34,343,574 ",Columbia Pictures,USA,Ron Howard,Action,,Inferno,PG-13,10/28/16,121,6.2,Tom Hanks,111448,Dan Brown
2016,1,"$9,000,000 ","$9,000,000 ","$34,904,885 ","$34,904,885 ",Allspark Pictures,USA,Mike Flanagan,Horror,,Ouija: Origin of Evil,PG-13,10/21/16,99,6.1,Elizabeth Reaser,35690,Mike Flanagan
